soa,relationproportion,lexicality,relation,prime,target,item ,participant,sex,age,Bilingualism,SPQPos,SPQNeg,SPQDis,OLIFEPos,OLIFENeg,OLIFEDis,OLIFEImp,reactiontime
long,0.327,word,related,nail,FINGER,12105,DB32,Female,19,13,17,21,16,1,1,3,4,498.64
long,0.327,word,related,nail,FINGER,12105,DA31,Female,21,12,20,10,15,3,2,6,5,NA
long,0.327,word,related,nail,FINGER,12105,DA37,Female,19,4,23,23,19,4,2,8,1,604.88
long,0.327,word,related,nail,FINGER,12105,DA18,Female,19,12,18,32,19,4,5,5,3,572.28
long,0.327,word,related,nail,FINGER,12105,DA17,Female,19,4,15,9,11,1,1,1,0,734.28
long,0.327,word,related,nail,FINGER,12105,DA02,Male,25,4,14,21,17,3,3,5,5,976.34
long,0.327,word,related,nail,FINGER,12105,DB31,Female,21,14,17,15,14,4,2,4,4,694.61
long,0.327,word,related,nail,FINGER,12105,DB28,Female,21,16,18,27,18,5,7,8,2,691.65
long,0.327,word,related,nail,FINGER,12105,DB12,Female,20,7,13,15,8,3,2,5,0,609.07
long,0.327,word,related,nail,FINGER,12105,DB30,Female,20,14,27,28,22,6,3,10,7,349.6
long,0.327,word,related,nail,FINGER,12105,DB22,Female,19,20,19,22,12,1,2,3,3,449.47
long,0.327,word,related,nail,FINGER,12105,DB05,Female,24,14,31,35,18,9,8,10,6,NA
long,0.327,word,related,nail,FINGER,12105,DA04,Female,21,10,26,30,18,2,4,9,6,446.47
long,0.327,word,related,nail,FINGER,12105,DA03,Female,22,16,24,36,24,3,5,4,2,1039.83
long,0.327,word,related,nail,FINGER,12105,DB29,Female,20,9,18,20,11,3,2,4,2,1143.32
long,0.327,word,related,nail,FINGER,12105,DB19,Female,21,15,18,19,14,1,5,3,1,1451.69
long,0.327,word,related,nail,FINGER,12105,DB15,Female,18,14,10,28,15,0,5,1,4,373.54
long,0.327,word,related,nail,FINGER,12105,DA07,Male,19,14,19,25,19,1,4,6,1,423.89
short,NA,pseudoword,related,nail,GECO,51105,DA28,Female,24,12,10,12,10,1,4,5,1,664.99
short,NA,pseudoword,related,nail,GECO,51105,DA30,Female,19,6,14,15,15,0,1,6,2,586.05
short,NA,pseudoword,related,nail,GECO,51105,DB35,Female,22,11,14,11,8,2,1,1,1,465.33
short,NA,pseudoword,related,nail,GECO,51105,DB24,Female,20,14,12,23,17,3,3,7,2,494.49
short,NA,pseudoword,related,nail,GECO,51105,DB06,Female,19,7,16,27,13,1,2,4,1,642.29
short,NA,pseudoword,related,nail,GECO,51105,DA05,Female,21,15,13,32,16,0,7,7,4,454.83
short,NA,pseudoword,related,nail,GECO,51105,DB44,Female,18,16,21,25,14,5,2,10,6,726.91
short,NA,pseudoword,related,nail,GECO,51105,DB18,Male,19,7,12,20,20,1,3,3,5,1037.44
short,NA,pseudoword,related,nail,GECO,51105,DA36,Male,21,12,11,17,14,0,1,4,2,815.69
short,NA,pseudoword,related,nail,GECO,51105,DB27,Female,21,15,13,34,19,2,4,10,2,451.37
short,NA,pseudoword,related,nail,GECO,51105,DB04,Female,19,6,9,15,10,0,3,2,0,484.7
short,NA,pseudoword,related,nail,GECO,51105,DA09,Female,18,14,20,17,11,2,3,3,2,612.55
short,NA,pseudoword,related,nail,GECO,51105,DB11,Female,18,13,20,21,16,6,3,8,5,648.71
short,NA,pseudoword,related,nail,GECO,51105,DB34,Female,19,14,11,14,8,0,5,4,0,621.4
short,NA,pseudoword,related,nail,GECO,51105,DA01,Female,22,9,9,21,14,3,3,5,1,577.32
short,NA,pseudoword,related,nail,GECO,51105,DB17,Female,19,14,21,24,14,3,2,6,3,609.18
short,NA,pseudoword,related,nail,GECO,51105,DB33,Female,20,18,9,25,12,2,7,3,2,562.67
short,NA,pseudoword,related,nail,GECO,51105,DB21,Female,18,20,21,12,15,3,3,0,2,1071.04
short,NA,pseudoword,related,nail,GECO,51105,DA33,Female,18,13,12,19,7,0,3,2,1,570.32
short,NA,pseudoword,related,nail,GECO,51105,DA24,Female,18,4,21,13,9,3,2,2,3,624.16
short,NA,pseudoword,related,nail,GECO,51105,DA20,Female,19,16,14,17,14,0,1,3,2,539.54
short,NA,pseudoword,related,nail,GECO,51105,DB25,Female,18,14,16,12,7,4,1,2,4,469.8
short,NA,pseudoword,related,nail,GECO,51105,DA26,Female,18,13,21,27,22,6,7,8,3,798.26
short,NA,pseudoword,related,nail,GECO,51105,DA40,Male,21,16,16,16,6,6,1,2,3,576.05
short,NA,pseudoword,related,nail,GECO,51105,DB42,Female,18,20,20,17,19,5,1,5,5,576.05
short,NA,pseudoword,related,nail,GECO,51105,DA39,Female,17,4,17,14,15,4,1,4,2,620.75
short,NA,pseudoword,related,nail,GECO,51105,DA12,Female,22,12,12,12,8,0,1,0,0,728.95
short,NA,pseudoword,related,nail,GECO,51105,DA11,Male,19,13,24,26,17,7,4,7,5,825.05
short,NA,pseudoword,related,nail,GECO,51105,DA32,Female,27,20,24,27,15,4,2,11,1,580.37
short,NA,pseudoword,related,nail,GECO,51105,DB38,Female,19,12,24,26,16,4,3,3,2,563.01
short,NA,pseudoword,related,nail,GECO,51105,DA08,Female,19,14,24,19,17,4,2,7,3,NA
short,NA,pseudoword,related,nail,GECO,51105,DB16,Female,19,14,11,14,8,1,1,1,0,727.62
short,NA,pseudoword,related,nail,GECO,51105,DA16,Female,19,11,16,26,12,5,3,5,0,691.35
short,NA,pseudoword,related,nail,GECO,51105,DB39,Female,18,4,13,19,9,2,1,4,1,622.27
short,NA,pseudoword,related,nail,GECO,51105,DB41,Female,19,8,12,13,8,1,1,0,1,622.27
short,NA,pseudoword,related,nail,GECO,51105,DB45,Female,18,14,24,39,17,4,5,10,7,774.81
short,NA,pseudoword,related,nail,GECO,51105,DA15,Female,21,5,10,22,10,0,3,1,0,696.95
short,NA,pseudoword,related,nail,GECO,51105,DB20,Female,19,8,8,19,9,0,5,1,0,649.84
short,NA,pseudoword,related,nail,GECO,51105,DA06,Female,18,6,27,22,11,4,4,5,3,607.21
short,NA,pseudoword,related,nail,GECO,51105,DB13,Female,19,16,17,25,21,3,3,2,1,657.06
short,NA,pseudoword,related,nail,GECO,51105,DA29,Female,19,20,26,28,18,3,4,9,5,734.56
short,NA,pseudoword,related,nail,GECO,51105,DA41,Female,19,6,9,14,8,0,2,5,1,NA
short,NA,pseudoword,related,nail,GECO,51105,DB43,Female,21,12,19,24,14,3,6,7,5,NA
short,NA,pseudoword,related,nail,GECO,51105,DB23,Female,18,8,32,24,20,10,2,7,4,478.67
short,NA,pseudoword,related,nail,GECO,51105,DB36,Female,19,11,20,13,17,4,2,7,4,594.88
short,NA,pseudoword,related,nail,GECO,51105,DA14,Female,19,13,24,19,14,3,1,0,5,972.66
short,NA,pseudoword,related,nail,GECO,51105,DB26,Female,19,4,21,21,19,3,3,4,2,843.91
short,NA,pseudoword,related,nail,GECO,51105,DB01,Female,23,9,19,10,9,4,1,5,3,618.09
short,NA,pseudoword,related,nail,GECO,51105,DB37,Female,22,13,12,13,6,2,3,2,1,523.94
short,NA,pseudoword,related,nail,GECO,51105,DB08,Female,19,12,19,11,15,5,1,4,4,1137.99
short,NA,pseudoword,related,nail,GECO,51105,DA10,Female,21,13,14,26,19,2,4,6,5,582
short,NA,pseudoword,related,nail,GECO,51105,DA25,Female,19,4,22,18,14,4,3,6,5,562.27
short,NA,pseudoword,related,nail,GECO,51105,DA38,Female,19,8,18,15,22,2,1,8,5,536.94
short,NA,pseudoword,related,nail,GECO,51105,DB40,Female,24,7,8,12,6,0,1,0,1,536.94
short,NA,pseudoword,related,nail,GECO,51105,DB09,Female,23,11,19,26,18,1,3,2,2,679.89
short,NA,pseudoword,related,nail,GECO,51105,DA34,Female,20,12,8,9,19,1,1,6,5,933.61
short,NA,pseudoword,related,nail,GECO,51105,DA13,Female,23,6,19,15,10,1,2,1,2,1444.82
short,NA,pseudoword,related,nail,GECO,51105,DA19,Male,20,13,22,30,29,2,6,8,3,816.37
short,NA,pseudoword,related,nail,GECO,51105,DB07,Male,18,12,13,29,11,2,2,7,4,529.93
short,NA,pseudoword,related,nail,GECO,51105,DA27,Female,20,9,20,28,23,4,5,4,4,536.18
short,NA,pseudoword,related,nail,GECO,51105,DA23,Female,18,12,24,19,12,5,1,6,2,906.11
short,NA,pseudoword,related,nail,GECO,51105,DA21,Female,18,7,19,19,14,5,2,1,2,667.61
short,NA,pseudoword,related,nail,GECO,51105,DA22,Female,18,11,24,34,21,2,7,10,5,736.79
short,NA,pseudoword,related,nail,GECO,51105,DB32,Female,19,13,17,21,16,1,1,3,4,625.99
short,NA,pseudoword,related,nail,GECO,51105,DA31,Female,21,12,20,10,15,3,2,6,5,525.07
short,NA,pseudoword,related,nail,GECO,51105,DA37,Female,19,4,23,23,19,4,2,8,1,622.24
short,NA,pseudoword,related,nail,GECO,51105,DA18,Female,19,12,18,32,19,4,5,5,3,610
short,NA,pseudoword,related,nail,GECO,51105,DA17,Female,19,4,15,9,11,1,1,1,0,764.31
short,NA,pseudoword,related,nail,GECO,51105,DA02,Male,25,4,14,21,17,3,3,5,5,726.04
short,NA,pseudoword,related,nail,GECO,51105,DB31,Female,21,14,17,15,14,4,2,4,4,601.22
short,NA,pseudoword,related,nail,GECO,51105,DB28,Female,21,16,18,27,18,5,7,8,2,729.79
short,NA,pseudoword,related,nail,GECO,51105,DB12,Female,20,7,13,15,8,3,2,5,0,536.86
short,NA,pseudoword,related,nail,GECO,51105,DB30,Female,20,14,27,28,22,6,3,10,7,524.42
short,NA,pseudoword,related,nail,GECO,51105,DB22,Female,19,20,19,22,12,1,2,3,3,577.92
short,NA,pseudoword,related,nail,GECO,51105,DB05,Female,24,14,31,35,18,9,8,10,6,NA
short,NA,pseudoword,related,nail,GECO,51105,DA04,Female,21,10,26,30,18,2,4,9,6,NA
short,NA,pseudoword,related,nail,GECO,51105,DA03,Female,22,16,24,36,24,3,5,4,2,623.01
short,NA,pseudoword,related,nail,GECO,51105,DB29,Female,20,9,18,20,11,3,2,4,2,623.22
short,NA,pseudoword,related,nail,GECO,51105,DB19,Female,21,15,18,19,14,1,5,3,1,475.41
short,NA,pseudoword,related,nail,GECO,51105,DB15,Female,18,14,10,28,15,0,5,1,4,NA
short,NA,pseudoword,related,nail,GECO,51105,DA07,Male,19,14,19,25,19,1,4,6,1,NA
long,NA,pseudoword,related,nail,GECO,52105,DA28,Female,24,12,10,12,10,1,4,5,1,577.19
long,NA,pseudoword,related,nail,GECO,52105,DA30,Female,19,6,14,15,15,0,1,6,2,630.66
long,NA,pseudoword,related,nail,GECO,52105,DB35,Female,22,11,14,11,8,2,1,1,1,524.17
long,NA,pseudoword,related,nail,GECO,52105,DB24,Female,20,14,12,23,17,3,3,7,2,432.57
long,NA,pseudoword,related,nail,GECO,52105,DB06,Female,19,7,16,27,13,1,2,4,1,618.69
long,NA,pseudoword,related,nail,GECO,52105,DA05,Female,21,15,13,32,16,0,7,7,4,412.17
long,NA,pseudoword,related,nail,GECO,52105,DB44,Female,18,16,21,25,14,5,2,10,6,664.19
long,NA,pseudoword,related,nail,GECO,52105,DB18,Male,19,7,12,20,20,1,3,3,5,446.53
long,NA,pseudoword,related,nail,GECO,52105,DA36,Male,21,12,11,17,14,0,1,4,2,779.77
long,NA,pseudoword,related,nail,GECO,52105,DB27,Female,21,15,13,34,19,2,4,10,2,554.53
long,NA,pseudoword,related,nail,GECO,52105,DB04,Female,19,6,9,15,10,0,3,2,0,475.98
long,NA,pseudoword,related,nail,GECO,52105,DA09,Female,18,14,20,17,11,2,3,3,2,599.07
long,NA,pseudoword,related,nail,GECO,52105,DB11,Female,18,13,20,21,16,6,3,8,5,708.2
long,NA,pseudoword,related,nail,GECO,52105,DB34,Female,19,14,11,14,8,0,5,4,0,580.83
long,NA,pseudoword,related,nail,GECO,52105,DA01,Female,22,9,9,21,14,3,3,5,1,534.57
long,NA,pseudoword,related,nail,GECO,52105,DB17,Female,19,14,21,24,14,3,2,6,3,629.12
long,NA,pseudoword,related,nail,GECO,52105,DB33,Female,20,18,9,25,12,2,7,3,2,719.1
long,NA,pseudoword,related,nail,GECO,52105,DB21,Female,18,20,21,12,15,3,3,0,2,1579.96
long,NA,pseudoword,related,nail,GECO,52105,DA33,Female,18,13,12,19,7,0,3,2,1,551.18
long,NA,pseudoword,related,nail,GECO,52105,DA24,Female,18,4,21,13,9,3,2,2,3,513.62
long,NA,pseudoword,related,nail,GECO,52105,DA20,Female,19,16,14,17,14,0,1,3,2,531.7
long,NA,pseudoword,related,nail,GECO,52105,DB25,Female,18,14,16,12,7,4,1,2,4,536.23
long,NA,pseudoword,related,nail,GECO,52105,DA26,Female,18,13,21,27,22,6,7,8,3,658.34
long,NA,pseudoword,related,nail,GECO,52105,DA40,Male,21,16,16,16,6,6,1,2,3,541.55
long,NA,pseudoword,related,nail,GECO,52105,DB42,Female,18,20,20,17,19,5,1,5,5,541.55
long,NA,pseudoword,related,nail,GECO,52105,DA39,Female,17,4,17,14,15,4,1,4,2,632.63
long,NA,pseudoword,related,nail,GECO,52105,DA12,Female,22,12,12,12,8,0,1,0,0,521.84
long,NA,pseudoword,related,nail,GECO,52105,DA11,Male,19,13,24,26,17,7,4,7,5,600.65
long,NA,pseudoword,related,nail,GECO,52105,DA32,Female,27,20,24,27,15,4,2,11,1,537.15
long,NA,pseudoword,related,nail,GECO,52105,DB38,Female,19,12,24,26,16,4,3,3,2,530.86
long,NA,pseudoword,related,nail,GECO,52105,DA08,Female,19,14,24,19,17,4,2,7,3,484.14
long,NA,pseudoword,related,nail,GECO,52105,DB16,Female,19,14,11,14,8,1,1,1,0,710.35
long,NA,pseudoword,related,nail,GECO,52105,DA16,Female,19,11,16,26,12,5,3,5,0,753.02
long,NA,pseudoword,related,nail,GECO,52105,DB39,Female,18,4,13,19,9,2,1,4,1,557.39
long,NA,pseudoword,related,nail,GECO,52105,DB41,Female,19,8,12,13,8,1,1,0,1,557.39
long,NA,pseudoword,related,nail,GECO,52105,DB45,Female,18,14,24,39,17,4,5,10,7,599.56
long,NA,pseudoword,related,nail,GECO,52105,DA15,Female,21,5,10,22,10,0,3,1,0,649.3
long,NA,pseudoword,related,nail,GECO,52105,DB20,Female,19,8,8,19,9,0,5,1,0,637.99
long,NA,pseudoword,related,nail,GECO,52105,DA06,Female,18,6,27,22,11,4,4,5,3,755.38
long,NA,pseudoword,related,nail,GECO,52105,DB13,Female,19,16,17,25,21,3,3,2,1,884.86
long,NA,pseudoword,related,nail,GECO,52105,DA29,Female,19,20,26,28,18,3,4,9,5,812.05
long,NA,pseudoword,related,nail,GECO,52105,DA41,Female,19,6,9,14,8,0,2,5,1,NA
long,NA,pseudoword,related,nail,GECO,52105,DB43,Female,21,12,19,24,14,3,6,7,5,NA
long,NA,pseudoword,related,nail,GECO,52105,DB23,Female,18,8,32,24,20,10,2,7,4,754.17
long,NA,pseudoword,related,nail,GECO,52105,DB36,Female,19,11,20,13,17,4,2,7,4,638.34
long,NA,pseudoword,related,nail,GECO,52105,DA14,Female,19,13,24,19,14,3,1,0,5,534.63
long,NA,pseudoword,related,nail,GECO,52105,DB26,Female,19,4,21,21,19,3,3,4,2,642.92
long,NA,pseudoword,related,nail,GECO,52105,DB01,Female,23,9,19,10,9,4,1,5,3,707.12
long,NA,pseudoword,related,nail,GECO,52105,DB37,Female,22,13,12,13,6,2,3,2,1,487.1
long,NA,pseudoword,related,nail,GECO,52105,DB08,Female,19,12,19,11,15,5,1,4,4,733.31
long,NA,pseudoword,related,nail,GECO,52105,DA10,Female,21,13,14,26,19,2,4,6,5,521.41
long,NA,pseudoword,related,nail,GECO,52105,DA25,Female,19,4,22,18,14,4,3,6,5,776.3
long,NA,pseudoword,related,nail,GECO,52105,DA38,Female,19,8,18,15,22,2,1,8,5,675.23
long,NA,pseudoword,related,nail,GECO,52105,DB40,Female,24,7,8,12,6,0,1,0,1,675.23
long,NA,pseudoword,related,nail,GECO,52105,DB09,Female,23,11,19,26,18,1,3,2,2,600.22
long,NA,pseudoword,related,nail,GECO,52105,DA34,Female,20,12,8,9,19,1,1,6,5,954.37
long,NA,pseudoword,related,nail,GECO,52105,DA13,Female,23,6,19,15,10,1,2,1,2,502.87
long,NA,pseudoword,related,nail,GECO,52105,DA19,Male,20,13,22,30,29,2,6,8,3,NA
long,NA,pseudoword,related,nail,GECO,52105,DB07,Male,18,12,13,29,11,2,2,7,4,636.56
long,NA,pseudoword,related,nail,GECO,52105,DA27,Female,20,9,20,28,23,4,5,4,4,557.84
long,NA,pseudoword,related,nail,GECO,52105,DA23,Female,18,12,24,19,12,5,1,6,2,628.24
long,NA,pseudoword,related,nail,GECO,52105,DA21,Female,18,7,19,19,14,5,2,1,2,542.87
long,NA,pseudoword,related,nail,GECO,52105,DA22,Female,18,11,24,34,21,2,7,10,5,897.48
long,NA,pseudoword,related,nail,GECO,52105,DB32,Female,19,13,17,21,16,1,1,3,4,658.09
long,NA,pseudoword,related,nail,GECO,52105,DA31,Female,21,12,20,10,15,3,2,6,5,603.96
long,NA,pseudoword,related,nail,GECO,52105,DA37,Female,19,4,23,23,19,4,2,8,1,644.22
long,NA,pseudoword,related,nail,GECO,52105,DA18,Female,19,12,18,32,19,4,5,5,3,678.95
long,NA,pseudoword,related,nail,GECO,52105,DA17,Female,19,4,15,9,11,1,1,1,0,NA
long,NA,pseudoword,related,nail,GECO,52105,DA02,Male,25,4,14,21,17,3,3,5,5,744.03
long,NA,pseudoword,related,nail,GECO,52105,DB31,Female,21,14,17,15,14,4,2,4,4,NA
long,NA,pseudoword,related,nail,GECO,52105,DB28,Female,21,16,18,27,18,5,7,8,2,652.27
long,NA,pseudoword,related,nail,GECO,52105,DB12,Female,20,7,13,15,8,3,2,5,0,875.38
long,NA,pseudoword,related,nail,GECO,52105,DB30,Female,20,14,27,28,22,6,3,10,7,NA
long,NA,pseudoword,related,nail,GECO,52105,DB22,Female,19,20,19,22,12,1,2,3,3,505.11
long,NA,pseudoword,related,nail,GECO,52105,DB05,Female,24,14,31,35,18,9,8,10,6,955.44
long,NA,pseudoword,related,nail,GECO,52105,DA04,Female,21,10,26,30,18,2,4,9,6,721.71
long,NA,pseudoword,related,nail,GECO,52105,DA03,Female,22,16,24,36,24,3,5,4,2,955.6
long,NA,pseudoword,related,nail,GECO,52105,DB29,Female,20,9,18,20,11,3,2,4,2,1102.9
long,NA,pseudoword,related,nail,GECO,52105,DB19,Female,21,15,18,19,14,1,5,3,1,642.79
long,NA,pseudoword,related,nail,GECO,52105,DB15,Female,18,14,10,28,15,0,5,1,4,504.04
long,NA,pseudoword,related,nail,GECO,52105,DA07,Male,19,14,19,25,19,1,4,6,1,750.16
short,NA,word,unrelated,nail,WATER,11205,DA28,Female,24,12,10,12,10,1,4,5,1,594.33
short,NA,word,unrelated,nail,WATER,11205,DA30,Female,19,6,14,15,15,0,1,6,2,497.21
short,NA,word,unrelated,nail,WATER,11205,DB35,Female,22,11,14,11,8,2,1,1,1,405.55
short,NA,word,unrelated,nail,WATER,11205,DB24,Female,20,14,12,23,17,3,3,7,2,425.66
short,NA,word,unrelated,nail,WATER,11205,DB06,Female,19,7,16,27,13,1,2,4,1,666.45
short,NA,word,unrelated,nail,WATER,11205,DA05,Female,21,15,13,32,16,0,7,7,4,510.69
short,NA,word,unrelated,nail,WATER,11205,DB44,Female,18,16,21,25,14,5,2,10,6,930.7
short,NA,word,unrelated,nail,WATER,11205,DB18,Male,19,7,12,20,20,1,3,3,5,621.54
short,NA,word,unrelated,nail,WATER,11205,DA36,Male,21,12,11,17,14,0,1,4,2,797.05
short,NA,word,unrelated,nail,WATER,11205,DB27,Female,21,15,13,34,19,2,4,10,2,418.02
short,NA,word,unrelated,nail,WATER,11205,DB04,Female,19,6,9,15,10,0,3,2,0,491.26
short,NA,word,unrelated,nail,WATER,11205,DA09,Female,18,14,20,17,11,2,3,3,2,579.28
short,NA,word,unrelated,nail,WATER,11205,DB11,Female,18,13,20,21,16,6,3,8,5,903
short,NA,word,unrelated,nail,WATER,11205,DB34,Female,19,14,11,14,8,0,5,4,0,532.15
short,NA,word,unrelated,nail,WATER,11205,DA01,Female,22,9,9,21,14,3,3,5,1,438.43
short,NA,word,unrelated,nail,WATER,11205,DB17,Female,19,14,21,24,14,3,2,6,3,718.51
short,NA,word,unrelated,nail,WATER,11205,DB33,Female,20,18,9,25,12,2,7,3,2,831.13
short,NA,word,unrelated,nail,WATER,11205,DB21,Female,18,20,21,12,15,3,3,0,2,567.85
short,NA,word,unrelated,nail,WATER,11205,DA33,Female,18,13,12,19,7,0,3,2,1,448.97
short,NA,word,unrelated,nail,WATER,11205,DA24,Female,18,4,21,13,9,3,2,2,3,529.87
short,NA,word,unrelated,nail,WATER,11205,DA20,Female,19,16,14,17,14,0,1,3,2,483.61
short,NA,word,unrelated,nail,WATER,11205,DB25,Female,18,14,16,12,7,4,1,2,4,553.79
short,NA,word,unrelated,nail,WATER,11205,DA26,Female,18,13,21,27,22,6,7,8,3,630.01
short,NA,word,unrelated,nail,WATER,11205,DA40,Male,21,16,16,16,6,6,1,2,3,795.2
short,NA,word,unrelated,nail,WATER,11205,DB42,Female,18,20,20,17,19,5,1,5,5,795.2
short,NA,word,unrelated,nail,WATER,11205,DA39,Female,17,4,17,14,15,4,1,4,2,823.21
