item_name,Phono_N,OLD,OLDF,PLD,PLDF,NPhon,NMorph,regularity,Length,Ortho_N,BG_Sum,BG_Mean,BG_Freq_By_Pos,US.FREQcount,US.CDcount,brookesIMG,corteseIMG,corteseAOA,AoA_Kup_lem,Voice,Nasal,Fricative,Liquid_SV,Bilabials,Labiodentals,Alveolars,Palatals,Velars,Glottals,UK.FREQcount,UK.cbeebies.FREQcount,UK.cbbc.FREQcount,UK.BNC.FREQcount,LogFreq.Zipf.,LogFreqCbeebies.Zipf.,LogFreqCBBC.Zipf.,LogFreqBNC.Zipf.,UK.CDcount,UK.cbeebies.CDcount,UK.cbbc.CDcount,Lg.US.FREQcount,Lg.US.CDcount,Lg.UK.FREQcount,Lg.UK.cbeebies.FREQcount,Lg.UK.cbbc.FREQcount,Lg.UK.BNC.FREQcount,Lg.UK.CDcount,Lg.UK.cbeebies.CDcount,Lg.UK.cbbc.CDcount
cheat,20,1.7,8.385,1.45,8.292,3,1,1,5,4,9262,2315.5,1502,901,616,3.344827586,3.7,4.1,5.11,0,0,1,0,0,0,0,1,0,0,1499,23,371,419,3.87,3.61,4.43,3.62,1117,17,266,2.955206538,2.790285164,3.176091259,1.380211242,2.57054294,2.62324929,3.048441804,1.255272505,2.426511261
cheer,32,1.75,7.813,1.2,8.249,3,1,0,5,3,10298,2574.5,2421,953,733,4.862068966,4.6,3.548387097,5,0,0,1,0,0,0,0,1,0,0,4425,854,586,781,4.34,5.16,4.63,3.89,3159,426,409,2.979548375,2.86569606,3.64601141,2.931966115,2.768638101,2.893206753,3.499687083,2.630427875,2.612783857
chew,30,1.75,8.486,1.5,9.711,2,1,1,4,4,3575,1191.667,850,462,389,5.068965517,4.9,2.65625,4.05,0,0,1,0,0,0,0,1,0,0,1352,139,276,328,3.83,4.38,4.31,3.51,1007,49,196,2.665580991,2.591064607,3.131297797,2.146128036,2.442479769,2.517195898,3.003460532,1.698970004,2.294466226
child,6,1.85,7.986,1.85,6.792,4,1,0,5,3,4364,1091,1170,8040,3067,6.068965517,6.4,2.8125,5.14536,0,0,1,0,0,0,0,1,0,0,28117,47,922,24397,5.14,3.91,4.83,5.38,11436,35,536,3.905310062,3.486855355,4.448984427,1.681241237,2.965201701,4.387354227,4.058312121,1.556302501,2.729974286
choice,4,1.95,7.044,2,7.716,3,1,1,6,0,6985,1397,1328,4975,3095,2.827586207,2.6,3.65625,5.17,0,0,1,0,0,0,0,1,0,0,21372,280,1138,12098,5.03,4.68,4.92,5.08,12448,209,850,3.696880372,3.490800952,4.329865486,2.44870632,3.056523724,4.082749477,4.095134467,2.322219295,2.92992956
chop,16,1.45,8.045,1.4,8.427,3,1,1,4,7,3462,1154,1000,694,453,5.24137931,4.5,3.870967742,6.74,0,0,1,0,0,0,0,1,0,0,3986,353,438,561,4.3,4.78,4.51,3.75,1920,92,244,2.841984805,2.657055853,3.600646236,2.549003262,2.64246452,2.749736316,3.283527365,1.968482949,2.389166084
chose,18,1.55,8.487,1.75,8.501,3,1,0,5,6,5587,1396.75,1360,952,775,2.310344828,2.8,3.8125,4.74,0,0,1,0,0,0,0,1,0,0,5467,114,358,2850,4.43,4.29,4.42,4.45,4339,87,296,2.979092901,2.889861721,3.737828506,2.06069784,2.555094449,3.454997217,3.63748973,1.944482672,2.472756449
class,11,1.5,7.849,1.2,7.087,4,1,0,5,8,5621,1405.25,1293,5985,2445,5.24137931,5.6,3.0625,4.95,0,0,0,0,0,0,0,0,1,0,20816,377,2234,18149,5.01,4.81,5.21,5.26,9678,159,845,3.777136713,3.388456453,4.318418142,2.5774918,3.349277527,4.258876629,3.98583049,2.204119983,2.927370363
clean,9,1.7,7.826,1.45,7.93,4,1,1,5,3,9293,2323.25,1302,6183,3455,5.448275862,4.5,3.03125,3.89,0,0,0,0,0,0,0,0,1,0,18677,1622,1966,6512,4.97,5.44,5.16,4.81,10610,728,1119,3.791269481,3.538573734,4.271330371,3.21031852,3.29380436,3.813781078,4.025756315,2.862727528,3.049218023
clerk,7,1.9,7.423,1.8,7.278,4,1,0,5,1,10427,2606.75,1097,658,405,4.551724138,6.2,4.612903226,6.74,0,0,0,0,0,0,0,0,1,0,683,0,8,1952,3.53,2.23,2.82,4.29,506,0,3,2.818885415,2.608526034,2.835056102,0,0.954242509,3.290702243,2.705007959,0,0.602059991
club,3,1.85,7.274,1.75,7.337,4,1,1,4,1,1537,512.333,571,5038,2156,5.517241379,5.5,3.59375,5.89,0,0,0,0,0,0,0,0,1,0,25209,622,1032,16465,5.1,5.03,4.88,5.21,9003,117,438,3.702344358,3.333850145,4.401572846,2.794488047,3.014100322,4.216588111,3.954435486,2.071882007,2.64246452
coast,15,1.65,8.21,1.15,8.515,4,1,1,5,3,7910,1977.5,2601,1361,795,5.931034483,5.4,4.161290323,6.43,0,0,0,0,0,0,0,0,1,0,14755,35,471,4701,4.86,3.79,4.54,4.67,6761,27,303,3.134177108,2.900913068,4.168968647,1.556302501,2.673941999,3.672282625,3.830075166,1.447158031,2.482873584
cod,24,1,7.962,1,8.556,3,1,1,3,16,3008,1504,1887,114,70,5.620689655,4.3,5.1875,11.5,0,0,0,0,0,0,0,0,1,0,1576,8,91,382,3.89,3.19,3.83,3.58,591,6,40,2.06069784,1.851258349,3.197831693,0.954242509,1.963787827,2.583198774,2.772321707,0.84509804,1.612783857
cold,23,1.15,8.331,1,8.828,4,1,0,4,12,4100,1366.667,2295,6638,3509,4.965517241,4.2,2.5,3.95,0,0,0,0,0,0,0,0,1,0,25839,1228,1989,12220,5.11,5.32,5.16,5.08,12637,516,1035,3.822102669,3.545307116,4.412292509,3.089551883,3.298853076,4.087106744,4.101678351,2.713490543,3.015359755
comb,21,1.6,8.178,1,8.492,3,1,0,4,5,4120,1373.333,2479,309,221,6.24137931,6.4,3.1875,5.5,0,0,0,0,0,0,0,0,1,0,783,97,80,422,3.59,4.22,3.77,3.62,522,37,68,2.491361694,2.346352974,2.894316063,1.991226076,1.908485019,2.626340367,2.718501689,1.579783597,1.838849091
cook,13,1.25,7.942,1.15,8.985,3,1,0,4,11,3628,1209.333,2268,2324,1369,6.103448276,5.4,3.1,4.22,0,0,0,0,0,0,0,0,1,0,21727,1810,1143,3909,5.03,5.49,4.92,4.59,5013,252,373,3.366422957,3.136720567,4.337019753,3.25791845,3.058426024,3.592176757,3.70018433,2.403120521,2.572871602
cope,23,1,8.642,1,8.575,3,1,1,4,17,4887,1629,2233,166,150,2.931034483,2.5,5.161290323,9.44,0,0,0,0,0,0,0,0,1,0,6537,18,427,4188,4.51,3.51,4.5,4.62,4816,17,346,2.222716471,2.178976947,3.815444916,1.278753601,2.631443769,3.62211036,3.682776646,1.255272505,2.540329475
cost,12,1.4,8.343,1.25,8.027,4,1,1,4,9,6883,2294.333,2731,2801,1995,3.551724138,3.8,3.6875,5.67,0,0,0,0,0,0,0,0,1,0,29986,9,617,20615,5.17,3.23,4.66,5.31,13515,7,471,3.447468131,3.300160537,4.47693302,1,2.790988475,4.314204406,4.130848183,0.903089987,2.673941999
cough,8,1.7,7.884,1.35,8.688,3,1,0,5,6,4940,1235,2485,448,334,5.931034483,5.6,2.806451613,4.32,0,0,0,0,0,0,0,0,1,0,953,49,130,793,3.68,3.93,3.98,3.9,714,33,85,2.652246341,2.525044807,2.979548375,1.698970004,2.117271296,2.899820502,2.854306042,1.531478917,1.934498451
could,13,1.85,8.486,1.4,9.859,3,1,0,5,2,5512,1378,2434,83109,8233,2.137931034,1.7,3.322580645,4.32,0,0,0,0,0,0,0,0,1,0,375249,9549,23862,168392,6.27,6.21,6.24,6.22,41325,3239,4370,4.919653282,3.915610863,5.574320701,3.980003372,4.377725041,5.226324034,4.616223371,3.51054501,3.640580806
deal,27,1.05,8.466,1,8.33,3,1,1,4,16,7480,2493.333,1923,13330,5231,3.379310345,3,3.741935484,6,1,0,0,0,0,0,1,0,0,0,43913,138,1901,14442,5.34,4.37,5.14,5.16,18570,97,1218,4.124862728,3.718667735,4.642602998,2.1430148,3.279210513,4.159657411,4.26883529,1.991226076,3.086003706
death,9,1.85,8.289,1.5,9.336,3,1,0,5,1,9920,2480,2308,11051,4278,5.379310345,4.7,3.483870968,5.37,1,0,0,0,0,0,1,0,0,0,27948,3,1039,20526,5.14,2.83,4.88,5.31,12405,3,589,4.043440876,3.631342286,4.446366274,0.602059991,3.017033339,4.312325482,4.093631777,0.602059991,2.770852012
down,19,1.55,8.238,1.3,7.471,3,1,1,4,4,1439,479.667,485,76004,8161,4.620689655,4,2.35483871,4.93222,1,0,0,0,0,0,1,0,0,0,247982,7746,18621,96025,6.09,6.12,6.13,5.98,37907,2606,3834,4.880842163,3.91179659,5.39442191,3.889133556,4.270026322,4.982388839,4.578730872,3.416141031,3.583765368
draw,2,1.55,8.177,1.65,8.563,3,1,0,4,5,3732,1244,1081,2061,1354,5.103448276,5,2.633333333,4.11,1,0,0,0,0,0,1,0,0,0,14864,1733,1749,7398,4.87,5.47,5.11,4.87,7766,377,669,3.314288661,3.131939295,4.172164914,3.239049093,3.243038049,3.869173027,3.890253305,2.5774918,2.826074803
ease,11,1.4,8.407,1,9.679,2,1,0,4,6,5298,1766,777,974,718,1.965517241,2.6,4.40625,9.11,1,0,0,0,0,0,0,0,0,0,3443,83,197,3098,4.23,4.16,4.16,4.49,2865,79,173,2.989004616,2.85672889,3.537063143,1.924279286,2.29666519,3.491221576,3.457276186,1.903089987,2.240549248
eat,12,1,9.135,1,9.752,2,1,1,3,11,5996,2998,651,12846,4834,5.931034483,4.8,2.1875,2.78,1,0,0,0,0,0,0,0,0,0,32360,3170,5772,7549,5.21,5.73,5.63,4.88,12675,1318,1989,4.108801724,3.684396478,4.510021933,3.501196242,3.761401557,3.877946952,4.102982231,3.120244796,3.298853076
eye,7,1.45,9.145,1,10.394,1,1,0,3,8,418,209,70,5701,3216,6.75862069,6.7,2.2,3.75,1,0,0,0,0,0,0,0,0,0,27123,862,2490,9575,5.13,5.17,5.26,4.98,14948,488,1355,3.756027213,3.507451061,4.433353736,2.936010796,3.396373728,3.981184137,4.174612142,2.689308859,3.13225969
face,20,1.2,8.418,1,8.731,3,1,1,4,11,3524,1174.667,824,14747,5610,6.206896552,6.4,2.483870968,3.75,0,0,1,0,0,1,0,0,0,0,55804,1252,6710,34978,5.44,5.33,5.69,5.54,23716,644,2525,4.168733129,3.749040269,4.746673112,3.097951071,3.826787239,4.543807389,4.375059754,2.809559715,3.402433346
fact,11,1.55,8.455,1.25,8.408,4,1,1,4,5,3031,1010.333,735,8801,4369,3.034482759,2.6,3.633333333,6.47,0,0,1,0,0,1,0,0,0,0,57190,618,2983,36971,5.45,5.02,5.34,5.57,23839,448,1606,3.944581364,3.640481437,4.75732769,2.791690649,3.474798819,4.567872944,4.377306251,2.652246341,3.206015877
fade,25,1.35,8.463,1,8.824,3,1,1,4,11,4080,1360,803,286,205,3.827586207,4,4.566666667,6.95,0,0,1,0,0,1,0,0,0,0,1201,12,58,515,3.78,3.34,3.64,3.71,937,9,45,2.457881897,2.31386722,3.079904468,1.113943352,1.770852012,2.712649702,2.972202838,1,1.662757832
faith,11,1.95,8.365,1.4,8.769,3,1,1,5,0,4847,1211.75,1118,2363,1220,3.172413793,3.5,3.9375,7.62,0,0,1,0,0,1,0,0,0,0,9345,12,207,5280,4.67,3.34,4.18,4.72,4485,5,148,3.373647472,3.086715664,3.970625777,1.113943352,2.318063335,3.722716167,3.651859269,0.77815125,2.173186268
fall,35,1.3,8.273,1,9.744,3,1,0,4,12,5109,1703,1365,6044,3322,4.689655172,4.8,2.8125,4.71,0,0,1,0,0,1,0,0,0,0,20583,688,1611,11120,5.01,5.07,5.07,5.04,12699,440,1035,3.781396305,3.521530341,4.313529773,2.838219222,3.207365037,4.046143841,4.103803721,2.644438589,3.015359755
FALSE,3,2,8.039,1.75,8.914,4,1,0,5,0,5938,1484.5,1245,1078,826,3,2.7,3.71875,6.72,0,0,1,0,0,1,0,0,0,0,11727,35,1640,3684,4.76,3.79,5.08,4.56,3116,25,287,3.033021445,2.91750551,4.069223957,1.556302501,3.215108581,3.566437492,3.493736802,1.414973348,2.459392488
far,17,1,9.203,1.05,10.263,3,1,0,3,16,3393,1696.5,1261,11259,5187,3.448275862,3.5,2.65625,4.878935,0,0,1,0,0,1,0,0,0,0,82183,1674,4982,30499,5.61,5.46,5.56,5.48,29834,1157,2399,4.051538391,3.714999967,4.914787275,3.224014811,3.697490887,4.484299839,4.474726042,3.063708559,3.380211242
farm,5,1.55,8.617,1.6,8.841,4,1,1,4,6,3976,1325.333,1478,1532,731,5.896551724,6.2,3.0625,3.85,0,0,1,0,0,1,0,0,0,0,13079,883,549,6913,4.81,5.18,4.6,4.84,4604,317,220,3.185542155,2.864511081,4.116607744,2.946452265,2.740362689,3.839729375,3.663229635,2.50242712,2.344392274
fast,19,1.3,8.565,1.05,8.97,4,1,0,4,11,5445,1815,1437,7010,3808,4.862068966,3,2.8,3.738636,0,0,1,0,0,1,0,0,0,0,24850,1868,3248,7595,5.09,5.5,5.38,4.88,13458,1026,1703,3.845779967,3.580810973,4.395343869,3.271609301,3.511749711,3.880584956,4.129012793,3.011570444,3.23146959
fault,9,1.8,7.818,1.35,8.332,4,1,0,5,2,2302,575.5,628,5310,3101,2.965517241,2.1,3.466666667,6.94,0,0,1,0,0,1,0,0,0,0,11377,330,1081,3511,4.75,4.75,4.9,4.54,6986,239,737,3.725176301,3.491641793,4.056065929,2.519827994,3.034227261,3.545554507,3.844290743,2.380211242,2.868056362
fear,40,1.25,8.499,1,9.503,3,1,0,4,12,5351,1783.667,1368,3523,1912,4.275862069,2.9,3.15625,4.79,0,0,1,0,0,1,0,0,0,0,13899,241,1338,8991,4.84,4.61,4.99,4.95,8543,191,687,3.5470359,3.28171497,4.1430148,2.383815366,3.126780577,3.953856298,3.93166124,2.283301229,2.837588438
feel,35,1.4,8.311,1,8.927,3,1,1,4,9,3175,1058.333,551,31989,7265,3.862068966,2.9,3,5.11,0,0,1,0,0,1,0,0,0,0,107314,2399,7620,26396,5.73,5.61,5.75,5.42,30174,1230,2751,4.50501424,3.861295394,5.03066043,3.380211242,3.882011962,4.421554572,4.479647279,3.090258053,3.43964843
from,4,1.9,8.335,1.7,7.462,4,1,1,4,2,3738,1246,1177,103992,8306,2.137931034,2,3,4.441998,0,0,1,0,0,1,0,0,0,0,631971,8926,32607,413535,6.5,6.18,6.38,6.61,42220,3166,4464,5.017004107,3.91944421,5.800697837,3.950705535,4.513324162,5.616513323,4.625528515,3.500648063,3.649821463
front,2,1.8,7.529,1.75,7.561,5,1,0,5,2,10145,2536.25,1569,9259,4589,3.75862069,4.4,2.966666667,5.187988,0,0,1,0,0,1,0,0,0,0,53021,818,3093,15106,5.42,5.14,5.35,5.18,21808,515,1638,3.966610987,3.661812686,4.724456105,2.913283902,3.490520309,4.179178229,4.338635752,2.712649702,3.214578954
gain,37,1.35,8.299,1,9.116,3,1,1,4,9,8428,2809.333,939,700,587,2.827586207,2.8,3.9,7.11,1,0,0,0,0,0,0,0,1,0,4379,434,225,5218,4.34,4.87,4.22,4.72,3220,61,162,2.845718018,2.769377326,3.641474111,2.638489257,2.354108439,3.717587297,3.507990725,1.792391689,2.212187604
get,18,1.2,9.005,1.05,10.336,3,1,0,3,14,2565,1282.5,520,233772,8336,2.448275862,1.7,2.5,3.17,1,0,0,0,0,0,0,0,1,0,618803,18981,61679,99506,6.49,6.51,6.65,6,42255,3658,4611,5.36879435,3.921009801,5.791553112,4.278341969,4.790144365,4.997853633,4.625888384,3.563362409,3.663889299
give,6,1.5,8.346,1.65,9.085,3,1,0,4,7,3352,1117.333,586,59559,8088,3.75862069,2.8,2.4375,4.28,1,0,0,0,0,0,0,0,1,0,146245,5274,13960,45117,5.86,5.95,6.01,5.65,35509,2133,3737,4.774954689,3.907894835,5.165083996,3.722222464,4.144916527,4.65434984,4.550350672,3.329194415,3.572639297
glass,5,1.75,7.498,1.5,7.814,4,1,0,5,3,5478,1369.5,1112,3096,1841,6.172413793,6.5,3.161290323,4.47,1,0,0,0,0,0,0,0,1,0,16716,316,715,9856,4.92,4.73,4.72,4.99,7116,151,377,3.490941205,3.265289626,4.223158342,2.501059262,2.854913022,3.993744757,3.852296966,2.181843588,2.5774918
gloom,8,1.8,7.594,1.45,6.715,4,1,1,5,2,4048,1012,799,59,53,4.034482759,3.2,4.5625,9,1,0,0,0,0,0,0,0,1,0,808,2,28,976,3.6,2.71,3.33,3.99,728,2,24,1.77815125,1.73239376,2.907948522,0.477121255,1.462397998,2.989894564,2.862727528,0.477121255,1.397940009
good,10,1.4,8.18,1.5,9.248,3,1,0,4,8,1822,607.333,677,133117,8316,3.862068966,2.6,2.161290323,3.55,1,0,0,0,0,0,0,0,1,0,454018,15112,39563,80795,6.35,6.41,6.46,5.91,41630,3699,4388,5.124236784,3.919966701,5.657074028,4.179350682,4.597300193,4.907389861,4.619416843,3.568201724,3.642365581
grace,19,1.4,7.68,1,8.841,4,1,1,5,8,6954,1738.5,1773,2157,748,2.517241379,3.3,3.84375,7.287417,1,0,0,0,0,0,0,0,1,0,4398,102,356,2471,4.34,4.24,4.42,4.39,2166,31,130,3.33405144,2.874481818,3.643353962,2.012837225,2.552668216,3.393048466,3.335858911,1.505149978,2.117271296
grant,6,1.7,7.681,1.55,7.504,5,1,0,5,4,10359,2589.75,2000,1660,706,3.034482759,3.1,4.96875,12.008468,1,0,0,0,0,0,0,0,1,0,5390,28,193,7461,4.43,3.69,4.15,4.87,2865,19,117,3.220369632,2.849419414,3.731669332,1.462397998,2.28780173,3.872855245,3.457276186,1.301029996,2.071882007
guard,15,1.95,7.634,1.25,7.742,4,1,1,5,0,4407,1101.75,801,2968,1569,5.586206897,5.8,4.096774194,6.25,1,0,0,0,0,0,0,0,1,0,4262,109,438,3056,4.33,4.27,4.51,4.48,2870,53,289,3.472610198,3.195899652,3.629715333,2.041392685,2.64246452,3.485295439,3.458033192,1.73239376,2.462397998
guide,26,1.75,7.79,1,8.716,3,1,1,5,3,4260,1065,761,910,657,4.379310345,4,4.34375,7.11,1,0,0,0,0,0,0,0,1,0,9299,101,758,5944,4.66,4.24,4.74,4.77,4322,70,430,2.959518377,2.818225894,3.968482949,2.008600172,2.880241776,3.774151859,3.635785236,1.851258349,2.63447727
halt,12,1.4,8.396,1.3,8.03,4,1,0,4,9,4580,1526.667,1078,575,369,3.724137931,3.5,4.625,8.11,0,0,0,0,0,0,0,0,0,1,1743,21,96,1787,3.94,3.57,3.85,4.25,1488,19,80,2.760422483,2.568201724,3.241546481,1.342422681,1.986771734,3.252367514,3.172894698,1.301029996,1.908485019
hang,21,1.4,8.464,1,9.8,3,1,1,4,10,8547,2849,1439,7535,3879,5.206896552,4.4,3.21875,6.68,0,0,0,0,0,0,0,0,0,1,19529,1420,3172,3285,4.99,5.38,5.37,4.51,11654,818,1758,3.87714089,3.588831726,4.290702243,3.152594078,3.501470072,3.516667559,4.066512278,2.913283902,3.245265839
hate,26,1,8.59,1,9.297,3,1,1,4,16,9721,3240.333,1602,10944,4752,3.689655172,3,3.064516129,5.53,0,0,0,0,0,0,0,0,0,1,13152,70,1527,3097,4.81,4.08,5.05,4.49,7848,60,1000,4.039215766,3.676967814,4.11902482,1.851258349,3.184123354,3.491081413,3.894814329,1.785329835,3.000434077
have,16,1.2,8.345,1.1,9.481,3,1,0,4,12,3429,1143,891,314232,8363,2.931034483,1.9,2.666666667,3.72,0,0,0,0,0,0,0,0,0,1,1591281,31182,95819,473693,6.9,6.72,6.85,6.67,43725,4293,4664,5.497251792,3.922414024,6.20174715,4.493917895,4.981456167,5.675497884,4.64073975,3.63286204,3.668851648
head,28,1.15,8.737,1,9.413,3,1,0,4,13,4615,1538.333,1307,18947,6294,5.827586207,6.8,2.322580645,3.42,0,0,0,0,0,0,0,0,0,1,81979,1899,8248,37906,5.61,5.51,5.78,5.58,27128,1028,2870,4.277563376,3.798995734,4.913707914,3.278753601,3.916401304,4.578719415,4.433433786,3.012415375,3.458033192
heat,29,1.2,8.79,1,9.317,3,1,1,4,11,7745,2581.667,1416,2044,1315,5.034482759,3.9,3.0625,5.33,0,0,0,0,0,0,0,0,0,1,11727,208,1005,5957,4.76,4.55,4.87,4.77,5818,100,498,3.310693312,3.119255889,4.069223957,2.320146286,3.002597981,3.775100499,3.764848357,2.004321374,2.698100546
help,7,1.55,8.646,1.5,8.704,4,1,1,4,7,3566,1188.667,816,46977,7745,4.379310345,2.8,2.90625,3.65,0,0,0,0,0,0,0,0,0,1,112603,10867,11229,37976,5.75,6.27,5.91,5.58,32675,3094,3513,4.671894524,3.889077493,5.051553818,4.03614963,4.050379756,4.579520655,4.514228887,3.490660653,3.545801757
her,18,1.3,9.174,1.25,8.84,2,1,0,3,6,7911,3955.5,985,144627,8076,4.103448276,3.5,2.35483871,5.092075,0,0,0,0,0,0,0,0,0,1,355000,7546,27494,327014,6.25,6.11,6.3,6.51,33828,2088,3546,5.160252381,3.907250083,5.550229576,3.87777435,4.439253724,5.514567674,4.52928916,3.31993844,3.549861188
his,25,1.4,8.693,1,9.574,3,1,0,3,6,3845,1922.5,976,108364,8186,4,2.6,2.580645161,3.685351,0,0,0,0,0,0,0,0,0,1,502568,8834,24751,433599,6.4,6.18,6.26,6.63,39497,2552,3955,5.034889035,3.91312479,5.701195696,3.946206554,4.393610296,5.637089274,4.596575105,3.407050815,3.597256283
hit,31,1,9.736,1,9.433,3,1,1,3,15,3263,1631.5,397,14025,5092,5.827586207,4.4,2.483870968,4.75,0,0,0,0,0,0,0,0,0,1,41043,588,2897,9953,5.31,5,5.33,5,18418,399,1563,4.146933835,3.706973676,4.613249679,2.770115295,3.462098381,3.997997636,4.265266048,2.602059991,3.194236749
house,11,1.6,7.677,1.65,8.088,3,1,0,5,5,6368,1592,1449,26214,6040,6.551724138,NA,NA,3.16,0,0,0,0,0,0,0,0,0,1,135288,3746,4286,50926,5.83,5.8,5.5,5.7,24665,1065,1606,4.418549862,3.781108836,5.131262487,3.573683693,3.632153484,4.706948094,4.392098727,3.027757205,3.206015877
hurt,21,1.65,8.26,1.2,8.641,3,1,1,4,5,2647,882.333,922,12564,5123,5,3.6,2.774193548,4,0,0,0,0,0,0,0,0,0,1,13341,541,1525,4581,4.82,4.96,5.05,4.66,7836,360,1047,4.099162493,3.709609121,4.125220936,2.733999287,3.183554534,3.661055085,3.894149847,2.557507202,3.020361283
ice,15,1.45,8.963,1,9.472,2,1,1,3,4,3939,1969.5,73,4057,1974,5.965517241,6.3,2.451612903,3.86,1,0,0,0,0,0,0,0,0,0,19301,2001,3205,4046,4.98,5.53,5.37,4.6,6583,523,888,3.608312043,3.2955671,4.285602311,3.301464073,3.505963518,3.607133204,3.818489822,2.719331287,2.948901761
job,19,1.2,8.719,1.45,7.626,3,1,0,3,14,503,251.5,220,21063,5983,4.724137931,4.3,3.096774194,5.39,1,0,0,0,0,0,0,1,0,0,81108,2555,5339,22891,5.6,5.64,5.59,5.36,25876,1068,2240,4.323540846,3.776991585,4.909069047,3.407560849,3.727541257,4.359683737,4.412913926,3.028977705,3.350441857
